eventID,deploymentID,scientificName,min_event_start,max_event_end,observation_count
0411a5ec,665938b4a122a53b9a6eb5b6,Pelecaniformes,2023-12-15 10:43:39+00:00,2023-12-15 10:43:40+00:00,2
04af627a,665938b4a122a53b9a6eb5b6,Amphibia,2024-05-22 09:57:13+00:00,2024-05-22 09:57:13+00:00,1
09da4bf4,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-07-13 14:52:26+00:00,2024-07-13 14:55:24+00:00,2
0aecb966,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-05-22 13:08:50+00:00,2024-05-22 13:08:56+00:00,2
0db6de06,665938b4a122a53b9a6eb5b6,Lithobates catesbeianus,2024-05-22 09:57:13+00:00,2024-05-22 09:57:13+00:00,1
0f3f6ee6,665938b4a122a53b9a6eb5b6,Apalone spinifera,2024-05-31 13:35:50+00:00,2024-05-31 13:37:31+00:00,3
0f531054,665938b4a122a53b9a6eb5b6,Pseudacris maculata,2023-12-18 08:48:08+00:00,2023-12-18 08:48:08+00:00,1
0faacb36,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-12-17 12:23:32+00:00,2024-12-17 12:23:34+00:00,2
1373d121,665938b4a122a53b9a6eb5b6,Cornales,2024-12-17 12:43:56+00:00,2024-12-17 12:43:56+00:00,1
141b165f,665938b4a122a53b9a6eb5b6,Sturnus vulgaris,2024-08-12 12:16:06+00:00,2024-08-12 12:16:06+00:00,1
16202e01,665938b4a122a53b9a6eb5b6,Anas platyrhynchos,2024-06-07 11:10:25+00:00,2024-06-07 11:10:25+00:00,1
1875c21b,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-05-16 18:35:30+00:00,2024-05-16 18:35:30+00:00,1
18829fb2,665938b4a122a53b9a6eb5b6,Nerodia sipedon,2024-01-13 16:41:28+00:00,2024-01-13 16:41:28+00:00,1
1c84321b,665938b4a122a53b9a6eb5b6,Lithobates catesbeianus,2023-12-12 05:44:25+00:00,2023-12-12 05:44:25+00:00,1
1cb6f350,665938b4a122a53b9a6eb5b6,Marmota monax,2023-12-18 06:41:10+00:00,2023-12-18 06:41:10+00:00,1
1d2168b1,665938b4a122a53b9a6eb5b6,Sciurus carolinensis,2023-12-13 03:09:40+00:00,2023-12-13 03:09:45+00:00,2
1e535dc6,665938b4a122a53b9a6eb5b6,Actitis macularius,2024-06-14 11:24:35+00:00,2024-06-14 11:24:35+00:00,1
1f3031d2,665938b4a122a53b9a6eb5b6,Ondatra zibethicus,2023-12-18 11:40:13+00:00,2023-12-18 11:40:13+00:00,1
1fb16d40,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-04-08 09:05:57+00:00,2024-04-08 09:05:57+00:00,1
219d27be,665938b4a122a53b9a6eb5b6,Ardea herodias,2024-08-19 18:50:29+00:00,2024-08-19 18:55:40+00:00,10
21b438a3,665938b4a122a53b9a6eb5b6,Ardea herodias,2024-06-23 12:25:45+00:00,2024-06-23 12:25:46+00:00,2
227f8287,665938b4a122a53b9a6eb5b6,Trachemys scripta elegans,2024-05-31 13:35:50+00:00,2024-05-31 13:37:31+00:00,3
238fd702,665938b4a122a53b9a6eb5b6,Ondatra zibethicus,2024-02-01 14:43:06+00:00,2024-02-01 14:43:11+00:00,2
25523ff4,665938b4a122a53b9a6eb5b6,Apalone spinifera,2024-05-31 13:18:32+00:00,2024-05-31 13:24:54+00:00,8
2bb3e5d3,665938b4a122a53b9a6eb5b6,Anas platyrhynchos,2024-05-30 08:26:21+00:00,2024-05-30 08:26:22+00:00,2
2e1db679,665938b4a122a53b9a6eb5b6,Trachemys scripta elegans,2024-05-31 13:46:23+00:00,2024-05-31 13:46:53+00:00,2
2f5678e8,665938b4a122a53b9a6eb5b6,Lithobates pipiens,2023-12-12 04:12:58+00:00,2023-12-12 04:13:04+00:00,2
34d4fcda,665938b4a122a53b9a6eb5b6,Apalone spinifera,2024-05-31 13:56:33+00:00,2024-05-31 13:58:55+00:00,2
35a8b25c,665938b4a122a53b9a6eb5b6,Lithobates pipiens,2024-01-13 16:33:07+00:00,2024-01-13 16:33:07+00:00,1
3677b426,665938b4a122a53b9a6eb5b6,Canis latrans,2024-01-30 04:30:19+00:00,2024-01-30 04:30:19+00:00,1
36e4cc27,665938b4a122a53b9a6eb5b6,Actitis macularius,2024-06-10 19:05:46+00:00,2024-06-10 19:05:46+00:00,1
37089dc9,665938b4a122a53b9a6eb5b6,Ondatra zibethicus,2023-12-17 20:03:46+00:00,2023-12-17 20:03:46+00:00,1
3a19b42e,665938b4a122a53b9a6eb5b6,Amphibia,2024-01-13 16:33:07+00:00,2024-01-13 16:33:07+00:00,1
3a5df219,665938b4a122a53b9a6eb5b6,Aves,2024-05-14 16:02:23+00:00,2024-05-14 16:02:23+00:00,1
3dcf820c,665938b4a122a53b9a6eb5b6,Felis catus,2025-01-05 08:04:34+00:00,2025-01-05 08:04:34+00:00,1
3f786d94,665938b4a122a53b9a6eb5b6,Trachemys scripta elegans,2024-01-13 16:41:23+00:00,2024-01-13 16:41:28+00:00,2
42115f18,665938b4a122a53b9a6eb5b6,Ardea herodias,2024-08-19 18:29:58+00:00,2024-08-19 18:32:39+00:00,2
42e76b3b,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-01-28 13:38:48+00:00,2024-01-28 13:38:48+00:00,1
434f2d46,665938b4a122a53b9a6eb5b6,Nyctereutes,2023-12-15 10:31:27+00:00,2023-12-15 10:31:27+00:00,1
437a5c41,665938b4a122a53b9a6eb5b6,Sciurus niger,2023-12-18 08:47:49+00:00,2023-12-18 08:48:21+00:00,4
448b733c,665938b4a122a53b9a6eb5b6,Nycticorax,2024-08-12 22:23:56+00:00,2024-08-12 22:24:59+00:00,2
465e455e,665938b4a122a53b9a6eb5b6,Pseudacris maculata,2024-01-13 16:33:07+00:00,2024-01-13 16:33:07+00:00,1
4717faa6,665938b4a122a53b9a6eb5b6,Canis latrans,2024-01-14 00:04:38+00:00,2024-01-14 00:04:38+00:00,1
4b2721c3,665938b4a122a53b9a6eb5b6,Marmota monax,2024-04-15 17:32:06+00:00,2024-04-15 17:32:06+00:00,1
4d16c3c7,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-12-22 11:45:02+00:00,2024-12-22 11:45:02+00:00,1
4fc47e78,665938b4a122a53b9a6eb5b6,Actitis macularius,2024-05-31 13:46:23+00:00,2024-05-31 13:46:53+00:00,2
5c90cfad,665938b4a122a53b9a6eb5b6,Pseudacris maculata,2024-01-30 06:16:05+00:00,2024-01-30 06:16:05+00:00,1
5cdadf8a,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-06-09 19:41:57+00:00,2024-06-09 19:41:57+00:00,1
5d5ed384,665938b4a122a53b9a6eb5b6,Anas platyrhynchos,2024-06-01 14:15:02+00:00,2024-06-01 14:17:55+00:00,6
62a000a2,665938b4a122a53b9a6eb5b6,Chrysemys picta,2024-06-17 12:45:40+00:00,2024-06-17 12:45:40+00:00,1
62bc0c07,665938b4a122a53b9a6eb5b6,Anas platyrhynchos,2024-06-01 14:05:51+00:00,2024-06-01 14:05:51+00:00,1
663be315,665938b4a122a53b9a6eb5b6,Actitis macularius,2024-05-31 13:18:32+00:00,2024-05-31 13:21:27+00:00,5
665bf89c,665938b4a122a53b9a6eb5b6,Sciurus niger,2023-12-12 23:17:12+00:00,2023-12-12 23:17:12+00:00,1
67e3a9ea,665938b4a122a53b9a6eb5b6,Trachemys scripta elegans,2023-12-18 04:25:57+00:00,2023-12-18 04:25:57+00:00,1
67f5240d,665938b4a122a53b9a6eb5b6,Lithobates pipiens,2023-12-12 11:19:00+00:00,2023-12-12 11:19:00+00:00,1
68bf5a50,665938b4a122a53b9a6eb5b6,Nerodia sipedon,2023-12-18 08:08:53+00:00,2023-12-18 08:08:53+00:00,1
