eventID,deploymentID,scientificName,min_event_start,max_event_end,observation_count
00964cb6,665938b4a122a53b9a6eb5b6,Nerodia sipedon,2024-01-13 16:41:28+00:00,2024-01-13 16:41:28+00:00,1
0206ed27,665938b4a122a53b9a6eb5b6,Castor canadensis,2024-01-13 05:36:42+00:00,2024-01-13 05:36:42+00:00,1
04ff32fb,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-01-28 13:38:48+00:00,2024-01-28 13:38:48+00:00,1
0806b1ca,665938b4a122a53b9a6eb5b6,Lithobates pipiens,2023-12-17 21:03:31+00:00,2023-12-17 21:03:31+00:00,1
0834fd7d,665938b4a122a53b9a6eb5b6,Apalone spinifera,2024-05-31 13:24:27+00:00,2024-05-31 13:24:54+00:00,2
0af0fd3f,665938b4a122a53b9a6eb5b6,Canis latrans,2023-12-18 07:11:57+00:00,2023-12-18 07:12:09+00:00,2
0c4cfd6d,665938b4a122a53b9a6eb5b6,Cornales,2024-12-17 12:43:56+00:00,2024-12-17 12:43:56+00:00,1
0d3dc97b,665938b4a122a53b9a6eb5b6,Lithobates catesbeianus,2024-01-13 16:33:07+00:00,2024-01-13 16:33:07+00:00,1
0fa806d4,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-07-13 14:39:44+00:00,2024-07-13 14:39:44+00:00,1
1043f8fa,665938b4a122a53b9a6eb5b6,Canis latrans,2023-12-15 13:36:59+00:00,2023-12-15 13:36:59+00:00,4
10efb636,665938b4a122a53b9a6eb5b6,Canis latrans,2024-01-14 02:11:02+00:00,2024-01-14 02:11:02+00:00,1
120840a5,665938b4a122a53b9a6eb5b6,Reptilia,2024-01-27 14:24:57+00:00,2024-01-27 14:24:57+00:00,1
12ad8c5d,665938b4a122a53b9a6eb5b6,Trachemys scripta elegans,2023-12-18 04:25:57+00:00,2023-12-18 04:25:57+00:00,1
15f5b99d,665938b4a122a53b9a6eb5b6,Tamias striatus,2024-01-27 14:24:57+00:00,2024-01-27 14:24:57+00:00,1
163d0622,665938b4a122a53b9a6eb5b6,Canis latrans,2023-12-12 11:51:59+00:00,2023-12-12 11:51:59+00:00,1
1ffc8d03,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-04-24 17:51:14+00:00,2024-04-24 17:51:14+00:00,2
21511151,665938b4a122a53b9a6eb5b6,Ardea herodias,2024-08-19 18:53:06+00:00,2024-08-19 18:53:07+00:00,2
22828e69,665938b4a122a53b9a6eb5b6,Ardea herodias,2024-08-19 18:46:43+00:00,2024-08-19 18:46:43+00:00,1
238c7979,665938b4a122a53b9a6eb5b6,Marmota monax,2023-12-18 06:41:10+00:00,2023-12-18 06:41:10+00:00,1
25876e57,665938b4a122a53b9a6eb5b6,Lithobates pipiens,2023-12-12 04:12:58+00:00,2023-12-12 04:13:04+00:00,2
25df4012,665938b4a122a53b9a6eb5b6,Ondatra zibethicus,2023-12-18 11:40:13+00:00,2023-12-18 11:40:13+00:00,1
299c2c59,665938b4a122a53b9a6eb5b6,Canis latrans,2023-12-12 11:13:46+00:00,2023-12-12 11:13:46+00:00,1
2a912205,665938b4a122a53b9a6eb5b6,Apalone spinifera,2024-05-31 13:36:55+00:00,2024-05-31 13:37:31+00:00,2
2acd566f,665938b4a122a53b9a6eb5b6,Felis catus,2025-01-05 08:04:34+00:00,2025-01-05 08:04:34+00:00,1
2f471412,665938b4a122a53b9a6eb5b6,Marmota monax,2024-04-15 17:32:06+00:00,2024-04-15 17:32:06+00:00,1
3113fdd1,665938b4a122a53b9a6eb5b6,Actitis macularius,2024-05-31 13:20:31+00:00,2024-05-31 13:21:27+00:00,4
