eventID,deploymentID,scientificName,min_event_start,max_event_end,observation_count
04dd63e8,665938b4a122a53b9a6eb5b6,Trachemys scripta elegans,2023-12-15 13:36:59+00:00,2023-12-15 13:36:59+00:00,1
04f5d464,665938b4a122a53b9a6eb5b6,Amphibia,2024-01-13 16:33:07+00:00,2024-01-13 16:33:07+00:00,1
051a5807,665938b4a122a53b9a6eb5b6,Lithobates pipiens,2023-12-12 11:19:00+00:00,2023-12-12 11:19:00+00:00,1
05617dc4,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-04-23 22:13:16+00:00,2024-04-23 22:13:16+00:00,1
06ea77d1,665938b4a122a53b9a6eb5b6,Castor canadensis,2024-01-13 05:36:42+00:00,2024-01-13 05:36:42+00:00,1
085219a4,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-07-13 14:32:29+00:00,2024-07-13 14:34:43+00:00,2
08e378c0,665938b4a122a53b9a6eb5b6,Lithobates catesbeianus,2023-12-12 11:26:12+00:00,2023-12-12 11:28:14+00:00,3
0ce39a55,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-08-07 14:12:55+00:00,2024-08-07 14:17:24+00:00,4
0d0b1d66,665938b4a122a53b9a6eb5b6,Sciurus niger,2023-12-18 08:47:49+00:00,2023-12-18 08:48:21+00:00,4
0e114dde,665938b4a122a53b9a6eb5b6,Nycticorax,2024-08-12 22:45:07+00:00,2024-08-12 22:45:07+00:00,1
0e8f2cd1,665938b4a122a53b9a6eb5b6,Actitis macularius,2024-05-31 13:24:54+00:00,2024-05-31 13:24:54+00:00,1
14e798de,665938b4a122a53b9a6eb5b6,Pseudacris maculata,2024-01-13 16:33:07+00:00,2024-01-13 16:33:07+00:00,1
18ece1ec,665938b4a122a53b9a6eb5b6,Amphibia,2024-05-22 09:57:13+00:00,2024-05-22 09:57:13+00:00,1
19955e2c,665938b4a122a53b9a6eb5b6,Aves,2024-05-14 16:02:23+00:00,2024-05-14 16:02:23+00:00,1
1cb6dc21,665938b4a122a53b9a6eb5b6,Apalone spinifera,2023-12-18 08:08:53+00:00,2023-12-18 08:08:53+00:00,1
1eadf778,665938b4a122a53b9a6eb5b6,Sciurus niger,2023-12-12 23:17:12+00:00,2023-12-12 23:17:12+00:00,1
1fcc4df9,665938b4a122a53b9a6eb5b6,Nerodia sipedon,2023-12-18 08:08:53+00:00,2023-12-18 08:08:53+00:00,1
24bd32ce,665938b4a122a53b9a6eb5b6,Nerodia sipedon,2023-12-18 04:25:57+00:00,2023-12-18 04:25:57+00:00,1
2549e88c,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-12-17 12:23:32+00:00,2024-12-17 12:23:34+00:00,2
256f1fb8,665938b4a122a53b9a6eb5b6,Lithobates catesbeianus,2023-12-12 05:44:25+00:00,2023-12-12 05:44:25+00:00,1
278bb25c,665938b4a122a53b9a6eb5b6,Chelydra serpentina,2023-12-18 03:28:22+00:00,2023-12-18 03:28:22+00:00,1
2820ccf0,665938b4a122a53b9a6eb5b6,Mammalia,2024-01-14 03:52:23+00:00,2024-01-14 03:52:23+00:00,1
286075a1,665938b4a122a53b9a6eb5b6,Pseudacris maculata,2023-12-18 08:48:08+00:00,2023-12-18 08:48:08+00:00,1
29b9ffee,665938b4a122a53b9a6eb5b6,Trachemys scripta elegans,2023-12-18 03:28:22+00:00,2023-12-18 03:28:22+00:00,1
2a7f4b78,665938b4a122a53b9a6eb5b6,Actitis macularius,2024-05-31 13:35:50+00:00,2024-05-31 13:37:31+00:00,3
2aa402ce,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-07-13 14:39:44+00:00,2024-07-13 14:41:46+00:00,2
2c4a3986,665938b4a122a53b9a6eb5b6,Marmota monax,2023-12-18 11:40:13+00:00,2023-12-18 11:40:13+00:00,1
32b27b5a,665938b4a122a53b9a6eb5b6,Castor canadensis,2025-01-05 08:04:34+00:00,2025-01-05 08:04:34+00:00,1
337139f6,665938b4a122a53b9a6eb5b6,Anas platyrhynchos,2024-05-30 09:06:33+00:00,2024-05-30 09:06:33+00:00,1
33cdd412,665938b4a122a53b9a6eb5b6,Lithobates pipiens,2024-01-13 16:33:07+00:00,2024-01-13 16:33:07+00:00,1
353f2622,665938b4a122a53b9a6eb5b6,Apalone spinifera,2024-05-31 13:35:50+00:00,2024-05-31 13:37:31+00:00,3
37c9793b,665938b4a122a53b9a6eb5b6,Ondatra zibethicus,2024-04-15 17:32:06+00:00,2024-04-15 17:32:06+00:00,1
399e0661,665938b4a122a53b9a6eb5b6,Apalone spinifera,2024-01-13 16:41:28+00:00,2024-01-13 16:41:28+00:00,1
3a5dde67,665938b4a122a53b9a6eb5b6,Apalone spinifera,2024-05-31 13:56:33+00:00,2024-05-31 13:58:55+00:00,2
3e4e48c6,665938b4a122a53b9a6eb5b6,Larinae,2024-06-24 20:05:59+00:00,2024-06-24 20:05:59+00:00,1
3e97a9cb,665938b4a122a53b9a6eb5b6,Tamias striatus,2024-01-27 14:24:57+00:00,2024-01-27 14:24:57+00:00,1
3eada39c,665938b4a122a53b9a6eb5b6,Sciurus carolinensis,2023-12-15 10:54:36+00:00,2023-12-15 10:55:04+00:00,3
41150a2b,665938b4a122a53b9a6eb5b6,Procyon lotor,2025-01-05 08:04:34+00:00,2025-01-05 08:04:34+00:00,1
4708ad36,665938b4a122a53b9a6eb5b6,Ondatra zibethicus,2024-02-01 14:43:06+00:00,2024-02-01 14:43:11+00:00,2
4ab672a4,665938b4a122a53b9a6eb5b6,Marmota monax,2023-12-18 08:47:49+00:00,2023-12-18 08:48:02+00:00,2
4c9403c0,665938b4a122a53b9a6eb5b6,Canis latrans,2023-12-18 07:11:57+00:00,2023-12-18 07:12:09+00:00,2
4fae128a,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-05-22 13:08:50+00:00,2024-05-22 13:08:56+00:00,2
50cc0d7a,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-05-16 18:35:30+00:00,2024-05-16 18:35:30+00:00,1
51ade395,665938b4a122a53b9a6eb5b6,Nycticorax,2024-08-12 21:56:04+00:00,2024-08-12 21:57:04+00:00,2
5214e110,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-07-13 14:52:26+00:00,2024-07-13 14:55:24+00:00,2
537d0452,665938b4a122a53b9a6eb5b6,Ardea herodias,2024-06-23 12:25:45+00:00,2024-06-23 12:25:46+00:00,2
53ba51e1,665938b4a122a53b9a6eb5b6,Canis latrans,2023-12-12 11:51:59+00:00,2023-12-12 11:51:59+00:00,1
5a11c7aa,665938b4a122a53b9a6eb5b6,Pseudacris maculata,2024-01-30 06:16:05+00:00,2024-01-30 06:16:05+00:00,1
5a8bfbc6,665938b4a122a53b9a6eb5b6,Marmota monax,2024-04-15 17:32:06+00:00,2024-04-15 17:32:06+00:00,1
5ad90f3f,665938b4a122a53b9a6eb5b6,Trachemys scripta elegans,2024-05-31 13:35:50+00:00,2024-05-31 13:37:31+00:00,3
5af2d577,665938b4a122a53b9a6eb5b6,Chelydra serpentina,2024-01-13 12:56:22+00:00,2024-01-13 12:56:22+00:00,1
5e086f6c,665938b4a122a53b9a6eb5b6,Marmota monax,2024-01-13 14:45:49+00:00,2024-01-13 14:45:49+00:00,1
5fdfa464,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-12-22 11:45:02+00:00,2024-12-22 11:45:02+00:00,1
6082606d,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-04-08 09:05:57+00:00,2024-04-08 09:05:57+00:00,1
61dfff1b,665938b4a122a53b9a6eb5b6,Sylvilagus floridanus,2024-01-30 10:28:22+00:00,2024-01-30 10:28:22+00:00,1
625fdf9e,665938b4a122a53b9a6eb5b6,Marmota monax,2023-12-18 06:41:10+00:00,2023-12-18 06:41:10+00:00,1
63cead61,665938b4a122a53b9a6eb5b6,Reptilia,2024-01-27 14:24:57+00:00,2024-01-27 14:24:57+00:00,1
640d98d5,665938b4a122a53b9a6eb5b6,Canis latrans,2023-12-15 13:36:59+00:00,2023-12-15 13:36:59+00:00,4
650c31f9,665938b4a122a53b9a6eb5b6,Lithobates catesbeianus,2024-05-22 09:57:13+00:00,2024-05-22 09:57:13+00:00,1
6996ca7d,665938b4a122a53b9a6eb5b6,Reptilia,2024-01-13 16:41:28+00:00,2024-01-13 16:41:28+00:00,2
69f53c5d,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-06-05 08:55:41+00:00,2024-06-05 09:00:30+00:00,9
6a28ea38,665938b4a122a53b9a6eb5b6,Marmota monax,2023-12-15 13:36:59+00:00,2023-12-15 13:36:59+00:00,4
6ba63120,665938b4a122a53b9a6eb5b6,Canis latrans,2024-02-01 14:43:11+00:00,2024-02-01 14:43:11+00:00,1
6ca9aa46,665938b4a122a53b9a6eb5b6,Chelydra serpentina,2024-06-17 12:45:40+00:00,2024-06-17 12:45:40+00:00,1
6d232acb,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-03-11 14:43:19+00:00,2024-03-11 14:43:46+00:00,2
6d5bb73a,665938b4a122a53b9a6eb5b6,Sylvilagus floridanus,2023-12-18 06:41:10+00:00,2023-12-18 06:41:10+00:00,1
6ee87085,665938b4a122a53b9a6eb5b6,Marmota monax,2024-04-23 04:51:35+00:00,2024-04-23 04:52:12+00:00,4
71decbbf,665938b4a122a53b9a6eb5b6,Tamias striatus,2023-12-15 10:55:10+00:00,2023-12-15 10:55:10+00:00,1
74104502,665938b4a122a53b9a6eb5b6,Ondatra zibethicus,2023-12-18 08:47:49+00:00,2023-12-18 08:48:21+00:00,4
750ff840,665938b4a122a53b9a6eb5b6,Nerodia sipedon,2024-01-13 16:41:28+00:00,2024-01-13 16:41:28+00:00,1
76803cc5,665938b4a122a53b9a6eb5b6,Anas platyrhynchos,2024-06-07 11:10:25+00:00,2024-06-07 11:10:25+00:00,1
