observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
671acd4b39e47da718aef5e1,665938b4a122a53b9a6eb5b6,ac9b1da3a1a84921d823680899acd276,,2023-11-24T13:34:30Z,2023-11-24T13:34:30Z,media,blank,,,,,,,,,,,,,,,,5e94888191fc50001775feb5,2024-10-24T22:42:19Z,,,
671acd5039e47da718aef5e8,665938b4a122a53b9a6eb5b6,6599e34549cfd678391726f021d663af,,2023-12-18T03:28:22Z,2023-12-18T03:28:22Z,media,animal,,Trachemys scripta elegans,1,,,,,,,,,,,,,5e94888191fc50001775feb5,2024-10-24T22:42:24Z,,,
671acd5039e47da718aef5e9,665938b4a122a53b9a6eb5b6,6599e34549cfd678391726f021d663af,,2023-12-18T03:28:22Z,2023-12-18T03:28:22Z,media,animal,,Chelydra serpentina,4,,,,,,,,,,,,,5e94888191fc50001775feb5,2024-10-24T22:42:24Z,,,
671ad5aa39e47da718aef5fc,665938b4a122a53b9a6eb5b6,a164a45c8d9f4f428ee0b0208e7f9857,,2023-12-18T03:28:28Z,2023-12-18T03:28:28Z,media,blank,,,,,,,,,,,,,,,,5e94888191fc50001775feb5,2024-10-24T23:18:02Z,,,
671ad5ae39e47da718aef607,665938b4a122a53b9a6eb5b6,82c9800563e95be141448f75c60da1b3,,2023-12-18T03:34:30Z,2023-12-18T03:34:30Z,media,blank,,,,,,,,,,,,,,,,5e94888191fc50001775feb5,2024-10-24T23:18:06Z,,,
671ad5af39e47da718aef612,665938b4a122a53b9a6eb5b6,c380685a9cdbec10510a1d9167d6203f,,2023-12-18T03:34:35Z,2023-12-18T03:34:35Z,media,blank,,,,,,,,,,,,,,,,5e94888191fc50001775feb5,2024-10-24T23:18:07Z,,,
671ad5b039e47da718aef61d,665938b4a122a53b9a6eb5b6,7c4050b9de7d52c1b78b8e7712cff42b,,2023-12-18T03:34:47Z,2023-12-18T03:34:47Z,media,blank,,,,,,,,,,,,,,,,5e94888191fc50001775feb5,2024-10-24T23:18:08Z,,,
671ad5b139e47da718aef628,665938b4a122a53b9a6eb5b6,ec52c0ec16b26efab7968eef17611bcb,,2023-12-18T03:34:54Z,2023-12-18T03:34:54Z,media,blank,,,,,,,,,,,,,,,,5e94888191fc50001775feb5,2024-10-24T23:18:09Z,,,
671ad5b239e47da718aef633,665938b4a122a53b9a6eb5b6,219410eb99e5341b58531cffbc9fc276,,2023-12-18T03:35:07Z,2023-12-18T03:35:07Z,media,blank,,,,,,,,,,,,,,,,5e94888191fc50001775feb5,2024-10-24T23:18:10Z,,,
671ad5b339e47da718aef63e,665938b4a122a53b9a6eb5b6,2b514c1166af1c67ad6048aee60ac608,,2023-12-18T03:35:13Z,2023-12-18T03:35:13Z,media,blank,,,,,,,,,,,,,,,,5e94888191fc50001775feb5,2024-10-24T23:18:11Z,,,
