scientificName,commonName
Branta canadensis,Canada Goose
Castor canadensis,North American Beaver
Apalone spinifera,Spiny Softshell Turtle
Reptilia,Reptiles
Actitis macularius,Spotted Sandpiper
Chelydra serpentina,Common Snapping Turtle
Anas platyrhynchos,Mallard
Procyon lotor,Raccoon
Aves,Birds
Testudines,Turtles and Tortoises
Trachemys scripta elegans,Red-eared Slider
Chrysemys picta,Painted Turtle
Passeridae,Old World Sparrows
Ardea herodias,Great Blue Heron
Ictalurus punctatus,Channel Catfish
Siluriformes,Catfish
Ictaluridae,North American Catfish
Mammalia,Mammals
Myomorpha,Mice and Rats (Suborder)
Graptemys,Map Turtles
Emydidae,Pond and Marsh Turtles
Sylvilagus floridanus,Eastern Cottontail
Passer domesticus,House Sparrow
Nycticorax,Night Herons
Ondatra zibethicus,Muskrat
Canis familiaris,Domestic Dog
Anseriformes,Waterfowl
Anatidae,Ducks Geese and Swans
Hirundo rustica,Barn Swallow
Trachemys,Sliders
Botaurus lentiginosus,American Bittern
Larus delawarensis,Ring-billed Gull
Rattus norvegicus,Brown Rat
Sturnus vulgaris,European Starling
Butorides virescens,Green Heron
Passerellidae,New World Sparrows
Hirundinidae,Swallows and Martins
Stelgidopteryx serripennis,Northern Rough-winged Swallow
Actinopterygii,Ray-finned Fishes
Anser caerulescens,Snow Goose
Lepomis macrochirus,Bluegill
Canis,Wolves and Dogs
Egretta,Typical Egrets
Rodentia,Rodents
Trionychidae,Softshell Turtles
Charadriiformes,Shorebirds and Gulls
Castorimorpha,Beaver-like Rodents
Leporidae,Rabbits and Hares
Agelaius phoeniceus,Red-winged Blackbird
Charadrius vociferus,Killdeer
Melospiza melodia,Song Sparrow
Fulica americana,American Coot
Procyon,Raccoons
Anisoptera,Dragonflies
Nycticorax nycticorax,Black-crowned Night Heron
Nannopterum,Cormorants
Ardea,Great Herons
Chordata,Chordates
Ameiurus nebulosus,Brown Bullhead
Quiscalus quiscula,Common Grackle
Papilionoidea,Butterflies
Larinae,Gulls
Anas,Dabbling Ducks
Sylvilagus,Cottontail Rabbits
Columba livia,Rock Pigeon
Castor,Beavers
Stelgidopteryx,Rough-winged Swallows
Zonotrichia albicollis,White-throated Sparrow
Parkesia noveboracensis,Northern Waterthrush
Zonotrichia leucophrys,White-crowned Sparrow
Melospiza georgiana,Swamp Sparrow
Junco hyemalis,Dark-eyed Junco
Turdus migratorius,American Robin
Quiscalus,Grackles
Larus smithsonianus,American Herring Gull
Sciurus carolinensis,Eastern Gray Squirrel
Spizella passerina,Chipping Sparrow
Spizelloides arborea,American Tree Sparrow
Nyctanassa violacea,Yellow-crowned Night Heron
Nycticorax nycticorax hoactli,American Black-crowned Night Heron
Chaetura pelagica,Chimney Swift
Branta hutchinsii,Cackling Goose
Botaurus exilis,Least Bittern
Cardinalis,Cardinals
Felis catus,Domestic Cat
Pomoxis nigromaculatus,Black Crappie
Lontra,River Otters
Parkesia motacilla,Louisiana Waterthrush
Apodemus sylvaticus,Wood Mouse
Cardinalis cardinalis,Northern Cardinal
Didelphis virginiana,Virginia Opossum
Peromyscus maniculatus,North American Deer Mouse
Corvus brachyrhynchos,American Crow
Spiza americana,Dickcissel
Canis latrans,Coyote
Castoridae,Beavers (Family)
Sturnidae,Starlings
Ardea cinerea,Grey Heron
Bucephala clangula,Common Goldeneye
Marmota monax,Groundhog
Sciurus niger,Eastern Fox Squirrel
Nerodia sipedon,Common Watersnake
Lepomis gibbosus,Pumpkinseed Sunfish
Lithobates clamitans,Green Frog
Ardeidae,Herons and Bitterns
Pelecaniformes,Pelicans and Allies
Dumetella carolinensis,Gray Catbird
Pimephales promelas,Fathead Minnow
Poecile atricapillus,Black-capped Chickadee
Cyprinus carpio,Common Carp
Aix sponsa,Wood Duck
Junco,Juncos
Passeriformes,Perching Birds
Larus,Typical Gulls
Tamias striatus,Eastern Chipmunk
Actitis,Spotted Sandpipers
Vulpes vulpes,Red Fox
Eptesicus fuscus,Big Brown Bat
Rattus,Rats
Dorosoma cepedianum,Gizzard Shad
Perca flavescens,Yellow Perch
Larus argentatus,European Herring Gull
Chondestes grammacus,Lark Sparrow
Trionychinae,Softshell Turtles (Subfamily)
Didelphimorphia,Opossums
Micropterus salmoides,Largemouth Bass
Trachemys scripta,Pond Slider
Micropterus dolomieu,Smallmouth Bass
Geothlypis trichas,Common Yellowthroat
Mergus serrator,Red-breasted Merganser
Setophaga palmarum,Palm Warbler
Spinus tristis,American Goldfinch
Passer domesticus domesticus,European House Sparrow
Astur cooperii,Cooper's Hawk
Catharus guttatus,Hermit Thrush
Anas acuta,Northern Pintail
Mergus merganser,Common Merganser
Felinae,Small Cats
Procyonidae,Procyonids (Raccoons and Allies)
Corvus,Crows and Ravens
Haemorhous mexicanus,House Finch
Sicalis,Yellow-finches
Buteo jamaicensis,Red-tailed Hawk
Anser albifrons,Greater White-fronted Goose
Melanerpes erythrocephalus,Red-headed Woodpecker
Podiceps auritus,Horned Grebe
Bubo virginianus,Great Horned Owl
Bombycilla cedrorum,Cedar Waxwing
Lithobates catesbeianus,American Bullfrog
Pseudacris triseriata,Western Chorus Frog
Sander vitreus,Walleye
Lophodytes cucullatus,Hooded Merganser
Aythya affinis,Lesser Scaup
Cathartes aura,Turkey Vulture
Gavia immer,Common Loon
Pheucticus ludovicianus,Rose-breasted Grosbeak
Colaptes auratus,Northern Flicker
Aythya marila,Greater Scaup
Passerina cyanea,Indigo Bunting
Ondatrini,Muskrats (Tribe)
Gallus gallus domesticus,Chicken
Laridae,Gulls and Terns
Podilymbus podiceps,Pied-billed Grebe
Nannopterum auritum,Double-crested Cormorant
Vertebrata,Vertebrates
Salvelinus namaycush,Lake Trout
Myotis lucifugus,Little Brown Bat
Branta,Black Geese
Mimus polyglottos,Northern Mockingbird
Pelagia noctiluca,Mauve Stinger (Jellyfish)
Scolopacidae,Sandpipers and Allies
Meuschenia hippocrepis,Horseshoe Leatherjacket
Canidae,Canines
Theria,Therian Mammals
Branta x Anser,Goose Hybrid (Branta x Anser)
Apalone ferox,Florida Softshell Turtle
Megaceryle alcyon,Belted Kingfisher
Ardea alba,Great Egret
Soricini,Red-toothed Shrews
Macrochelys temminckii,Alligator Snapping Turtle
Antigone canadensis,Sandhill Crane
Tipulomorpha,Crane Flies
Mus musculus,House Mouse
Gruidae,Cranes
Araceae,Arum Lilies
Ochotonidae,Pikas
Microtus,Meadow Voles
Anas sparsa sparsa,African Black Duck
Hemerocoetidae,Duckbill Fishes
Tyrannus tyrannus,Eastern Kingbird
Columbidae,Pigeons and Doves
Psittaciformes,Parrots
Mephitis mephitis,Striped Skunk
Apocynaceae,Dogbane/Milkweed Family
Terrapene,Box Turtles
Falco sparverius,American Kestrel
Trochilidae,Hummingbirds
Columba livia domestica,Domestic Pigeon
Euphagus carolinus,Rusty Blackbird
Scolopax minor,American Woodcock
